SNILS,INDIVIDUAL_ACCOUNT_GID,REG_DATE,CODE,PERIOD_BEGIN,PERIOD_END,РЕГ_НОМЕР,P_DAY1,NAME
70985583,464909085,2000-06-08,РСВ1-2015,2016-10-01,2016-12-31,62015001466,90,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-02-04,2016-03-13,62015001466,40,-
70985583,464909085,2000-06-08,СЗВ-6-1,2011-04-01,2011-05-05,62040000131,35,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-10-01,2016-12-31,62015001466,90,Педагогическая деятельность по закону №319-ФЗ               
70985583,464909085,2000-06-08,РСВ1-2015,2016-02-04,2016-03-13,62015001466,40,Педагогическая деятельность по закону №319-ФЗ               
70985583,464909085,2000-06-08,РСВ1-2015,2016-04-21,2016-05-05,62015001466,15,-
70985583,464909085,2000-06-08,СЗВ-4-2,2005-09-08,2005-12-31,62040000131,113,-
70985583,464909085,2000-06-08,СЗВ-КОРР,2017-09-04,2017-12-31,62015003473,117,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-04-21,2016-05-05,62015001466,15,Педагогическая деятельность по закону №319-ФЗ               
70985583,464909085,2000-06-08,РСВ1-2015,2015-02-14,2015-02-18,62040000131,5,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-04-01,2015-06-21,62040000131,81,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-03-13,2015-03-13,62040000131,1,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-03-13,2015-03-13,62040000131,1,Отпуск без сохранения зарплаты                              
70985583,464909085,2000-06-08,РСВ1-2015,2015-03-27,2015-03-27,62040000131,1,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-06-01,2016-06-30,62015001466,30,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-05-12,2016-05-26,62015001466,15,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-06-01,2016-06-30,62015001466,30,Педагогическая деятельность по закону №319-ФЗ               
70985583,464909085,2000-06-08,РСВ1-2015,2016-05-06,2016-05-11,62015001466,6,-
70985583,464909085,2000-06-08,РСВ1-2014,2014-05-12,2014-05-23,62040063411,12,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-03-21,2015-03-26,62040000131,6,-
70985583,464909085,2000-06-08,СЗВ-СТАЖ,2017-07-14,2017-08-24,62015002333,41,-
70985583,464909085,2000-06-08,РСВ1-2014,2014-05-12,2014-05-23,62040063411,12,Отпуск для особых категорий застрахованных лиц              
70985583,464909085,2000-06-08,СЗВ-4-2,2002-01-01,2002-06-05,62040000584,155,-
